id,label,subject,email
1,spam,Free Gift,Exclusive offer! Get 30% off on premium products. Buy now.
2,spam,Exclusive Deal,You have been selected to receive a $10000 reward. Click the link to verify your account.
3,spam,Win Big Today,Invest in our crypto platform and double your investment in 7 days.
4,ham,Meeting Reminder,Happy birthday! Hope you have a wonderful day with your family.
5,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
6,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
7,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
8,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
9,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
10,spam,Crypto Opportunity,Final reminder: Your subscription expires today. Update your payment details.
11,spam,Claim Your Prize,Invest in our crypto platform and double your investment in 7 days.
12,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
13,ham,Lunch Plan,Thank you for your payment. Your invoice is attached for your records.
14,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
15,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
16,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Tuesday.
17,spam,Account Alert,Exclusive offer! Get 60% off on premium products. Buy now.
18,ham,Weekly Report,I've shared the project files in the team drive. Please review them before tomorrow.
19,ham,Vacation Photos,Happy birthday! Hope you have a wonderful day with your family.
20,spam,Free Gift,Your parcel is waiting. Confirm your shipping address to avoid return.
21,ham,Interview Schedule,Please find the attached report for this week's progress. Let me know your feedback.
22,ham,Meeting Reminder,Thank you for your payment. Your invoice is attached for your records.
23,spam,Account Alert,Your parcel is waiting. Confirm your shipping address to avoid return.
24,ham,Doctor Appointment,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
25,ham,Weekly Report,Your appointment with Dr. Sharma is confirmed for Friday.
26,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
27,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Wednesday.
